ID,pH_STP,pH,Cl-,SO4,HCO3,H2S,SiO2,As,Sb,B,Ca,Fe,K,Li,Mg,Mn,Al,Na,Zn,Mo,Ni,Cd,Ti,Cu,Sr
SAE1_Blank 1,4.4,,0.024456982,0.004351447,,1.43E_05,0.013991927,2.30E_05,8.87E_07,0.003726272,6.58E_05,9.85E_07,0.002599309,0.000747118,1.15E_06,3.28E_07,5.74E_05,0.030965507,0,0,0,2.67E_07,0,0,8.10E_07
SAE1_Blank 2,4.36,,0.024541608,0.004361857,,3.20E_06,0.013964531,2.25E_05,1.02E_06,0.003704163,7.61E_05,2.15E_06,0.00267289,0.000765706,4.94E_07,3.64E_07,6.15E_05,0.03200187,0,0,0,5.34E_07,0,0,9.02E_07
SAE1_Blank 3,4.21,,0.02471086,0.004434728,,7.92E_07,0.014154827,2.30E_05,9.36E_07,0.003565402,7.27E_05,1.56E_06,0.00279133,0.000793516,1.07E_06,2.37E_07,6.54E_05,0.031458591,0,0,0,2.58E_07,0,0,9.13E_07
SAE1_Blank 4,4.19,,0.024315938,0.004341037,,0,0.014135553,2.35E_05,8.87E_07,0.003624422,6.47E_05,9.13E_07,0.002604373,0.000741499,8.64E_07,3.64E_07,5.70E_05,0.030794302,0,0,0,4.71E_07,0,0,8.22E_07
SAE1_Blank 5,4.16,,0.024739069,0.004424318,,0,0.014190529,2.33E_05,1.49E_06,0.003623959,6.52E_05,1.24E_06,0.002629284,0.000739625,9.46E_07,2.37E_07,5.59E_05,0.030947064,0,0,0,3.38E_07,0,0,8.33E_07
SAE1_Blank 6,4.17,,0.02448519,0.004372267,,0,0.014043159,2.29E_05,8.13E_07,0.003456429,6.94E_05,2.15E_07,0.002669974,0.000726225,9.05E_07,1.82E_07,6.34E_05,0.03134863,6.27E_07,1.95E_06,0,1.51E_07,8.36E_08,_4.72E_08,8.67E_07
Average,4.25,,0.024541608,0.004380942,0.000327761,3.04E_06,0.014080088,2.30E_05,1.00E_06,0.003616775,6.90E_05,1.18E_06,0.002661194,0.000752281,9.05E_07,2.85E_07,6.01E_05,0.031252661,1.05E_07,3.25E_07,0,3.37E_07,1.39E_08,_7.87E_09,8.58E_07
SAE1_01,7.92,7.9,0.024400564,0.004361857,0.000327761,7.92E_07,0.012221954,2.25E_05,0,0.003692229,0.001019261,1.77E_06,0.002239565,0.000708213,8.64E_05,1.55E_06,3.78E_05,0.031209787,1.07E_07,0,8.86E_07,0,_2.09E_08,7.24E_07,2.43E_06
SAE1_02,7.55,7.6,0.024344147,0.004361857,0.000327761,7.04E_07,0.012476764,2.30E_05,0,0.003571508,0.000622131,1.65E_06,0.002544092,0.000729395,2.08E_05,2.06E_06,3.79E_05,0.03128408,1.01E_06,0,0,5.25E_07,0,1.26E_06,1.43E_06
SAE1_03,6.84,6.8,0.024174894,0.004320217,0.000327761,8.51E_07,0.012656758,2.25E_05,0,0.003669658,0.000345634,1.97E_06,0.002543887,0.000716282,1.77E_05,1.93E_06,3.53E_05,0.031219182,9.63E_07,0,1.87E_06,2.94E_07,4.80E_07,1.51E_06,1.13E_06
SAE1_04,6.79,6.24,0.02448519,0.004413908,0.000327761,7.92E_07,0.011871688,2.33E_05,0,0.003790194,0.000583234,1.24E_06,0.002664118,0.000664553,4.20E_05,1.04E_06,2.22E_07,0.031168726,5.05E_07,0,0,5.16E_07,8.36E_08,1.81E_06,2.29E_06
SAE1_05,6.93,6.31,0.024372355,0.004372267,0.000327761,7.92E_07,0.011938199,2.29E_05,0,0.00359963,0.000434506,1.40E_06,0.002631586,0.000748559,4.35E_05,7.46E_07,0,0.030905916,2.75E_07,0,9.20E_07,2.67E_07,0,2.02E_06,1.77E_06
SAE1_06,6.84,6.24,0.024315938,0.004361857,0.000327761,7.63E_07,0.012853995,2.48E_05,0,0.003612026,0.000194087,1.70E_06,0.002545115,0.000723343,4.44E_05,1.13E_06,2.45E_06,0.031037495,0,0,1.06E_06,1.16E_07,3.76E_07,2.02E_06,1.13E_06
SAE1_07,6.73,6.19,0.025500705,0.00452842,0.000327761,7.04E_07,0.012993625,2.32E_05,0,0.003658649,0.000175574,1.72E_06,0.002522148,0.000705043,5.29E_05,1.18E_06,1.11E_07,0.031142366,0,0,6.65E_07,3.29E_07,_8.36E_08,2.03E_06,1.18E_06
SAE1_08,6.59,6.13,0.02425952,0.004351447,0.000327761,1.47E_06,0.013536268,2.40E_05,0,0.003788437,0.000207485,2.33E_06,0.002572941,0.000729107,5.91E_05,1.77E_06,0,0.031170509,0,0,6.13E_07,1.87E_07,6.27E_08,2.41E_06,1.19E_06
SAE1_09,6.58,6.13,0.024908322,0.004455549,0.000327761,1.47E_06,0.013568043,2.32E_05,0,0.00362988,0.000183907,2.29E_06,0.002777749,0.000729251,5.91E_05,1.93E_06,5.19E_07,0.031035885,0,0,1.21E_06,2.40E_07,0,3.40E_06,1.10E_06
SAE1_10,6.41,6.04,0.024372355,0.004393088,0.000327761,2.99E_06,0.013644457,2.30E_05,1.64E_08,0.003679741,0.000149975,1.63E_06,0.002606829,0.000726225,5.87E_05,1.86E_06,4.45E_07,0.030891388,0,0,0,6.23E_07,1.67E_07,2.72E_06,1.05E_06
SAE1_11,6.29,5.99,0.02425952,0.004361857,0.000327761,1.17E_06,0.013683023,2.28E_05,0,0.003612026,0.000194087,1.70E_06,0.002545115,0.000723343,5.93E_05,1.13E_06,2.45E_06,0.031037495,0,0,1.06E_06,1.16E_07,3.76E_07,2.74E_06,1.02E_06
SAE1_12,6.28,6,0.02471086,0.004403498,0.000327761,2.08E_06,0.013687617,2.38E_05,0,0.003658649,0.000175574,1.72E_06,0.002522148,0.000705043,6.11E_05,1.18E_06,1.11E_07,0.031316355,0,0,6.65E_07,3.29E_07,_8.36E_08,2.97E_06,9.47E_07
SAE1_13,6.16,5.96,0.024428773,0.004361857,0.000327761,8.22E_07,0.013694591,2.38E_05,0,0.003788437,0.000207485,2.33E_06,0.002572941,0.000729107,5.91E_05,1.77E_06,0,0.031170509,0,0,6.13E_07,1.87E_07,6.27E_08,2.88E_06,1.19E_06
SAE1_14,6.01,5.91,0.024513399,0.004382677,0.000327761,9.10E_07,0.013689647,2.31E_05,0,0.00362988,0.000183907,1.75E_06,0.002777749,0.000729251,5.91E_05,1.93E_06,5.19E_07,0.031035885,0,0,1.21E_06,2.40E_07,0,3.40E_06,1.10E_06
SAE1_15,5.9,5.88,0.024231312,0.004351447,0.000327761,1.67E_06,0.013739614,2.35E_05,0,0.003679741,0.000149975,1.65E_06,0.002606829,0.000726225,5.46E_05,1.86E_06,4.45E_07,0.030891388,0,0,0,6.23E_07,1.67E_07,2.72E_06,9.36E_07
SAE1_16,5.9,5.87,0.024203103,0.004372267,0.000327761,1.06E_06,0.013744374,2.34E_05,8.21E_08,0.003591397,0.00015736,1.74E_06,0.002611279,0.000733285,5.69E_05,2.20E_06,1.33E_06,0.031024967,0,0,1.96E_06,3.47E_07,0,2.94E_06,1.00E_06
SAE1_17,5.7,5.82,0.024203103,0.004320217,0.000327761,2.23E_06,0.013717909,2.28E_05,3.61E_07,0.003588159,0.00013725,2.38E_06,0.002607724,0.000724352,5.09E_05,2.15E_06,1.74E_06,0.031084385,1.07E_07,0,1.01E_06,2.31E_07,0,4.01E_06,9.24E_07
SAE1_18,5.7,5.79,0.024400564,0.004361857,0.000327761,2.38E_06,0.013762567,2.34E_05,2.22E_07,0.003638205,0.000133059,1.95E_06,0.002602532,0.000722334,5.19E_05,2.60E_06,3.37E_06,0.031248717,1.01E_06,0,1.93E_06,2.49E_07,4.39E_07,4.63E_06,9.36E_07
SAE1_19,5.63,5.79,0.024146685,0.004309806,0.000327761,1.67E_06,0.013860736,2.33E_05,2.79E_07,0.003578168,0.000129067,2.18E_06,0.002639284,0.000728963,4.99E_05,2.64E_06,2.00E_06,0.030898043,1.38E_07,0,7.33E_07,7.12E_08,0,4.82E_06,9.13E_07
SAE1_20,5.53,5.72,0.02425952,0.004330627,0.000327761,1.56E_06,0.01386037,2.28E_05,5.01E_07,0.003813414,0.000154092,2.47E_06,0.002605345,0.000725648,5.84E_05,3.49E_06,4.19E_06,0.030940104,3.67E_07,0,0,3.02E_07,1.67E_07,5.71E_06,1.08E_06
SAE1_21,5.38,5.7,0.024287729,0.004341037,0.000327761,1.38E_06,0.013889414,2.29E_05,7.47E_07,0.003613691,0.000135604,3.13E_06,0.002598338,0.000734438,5.21E_05,3.29E_06,3.74E_06,0.031169943,6.12E_07,0,0,2.85E_07,2.72E_07,5.16E_06,1.00E_06
SAE1_22,5.29,5.69,0.024456982,0.004361857,0.000327761,1.73E_06,0.013867177,2.37E_05,8.87E_07,0.0037284,0.00011744,2.99E_06,0.002561049,0.00070634,4.41E_05,2.86E_06,2.82E_06,0.031149152,6.42E_07,0,0,2.76E_07,1.46E_07,4.26E_06,8.67E_07
SAE1_23,5.17,5.7,0.024992948,0.004434728,0.000327761,1.64E_06,0.013870806,2.42E_05,1.03E_06,0.003630897,0.000133234,3.53E_06,0.002596854,0.000724496,4.86E_05,3.62E_06,1.78E_06,0.031006655,9.48E_07,0,0,2.94E_07,0,3.84E_06,1.00E_06
SAE1_24,5.07,5.48,0.024569817,0.004372267,0.000327761,1.03E_06,0.013876182,2.33E_05,1.10E_06,0.003645143,0.000128892,4.28E_06,0.002586829,0.000721037,4.50E_05,3.59E_06,9.30E_06,0.031128143,1.06E_06,0,0,4.36E_07,1.46E_07,3.60E_06,9.70E_07
SAE1_25,5.03,5.52,0.024513399,0.004361857,0.000327761,1.88E_06,0.013873502,2.34E_05,1.54E_06,0.003742553,0.000121856,5.55E_06,0.002599616,0.000722911,4.34E_05,3.86E_06,6.00E_06,0.031428099,1.12E_06,0,3.41E_07,2.76E_07,3.34E_07,3.93E_06,9.70E_07
SAE1_26,4.97,5.68,0.024795487,0.004403498,0.000327761,1.09E_06,0.013907174,2.33E_05,1.59E_06,0.003421924,0.000123253,4.12E_06,0.002651228,0.000724914,3.90E_05,3.55E_06,0,0.030944454,1.93E_06,8.32E_06,8.52E_07,3.29E_07,2.92E_07,2.74E_06,9.47E_07
